-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
July,18,675,765,836,46.4,0.20,0.25,0.30,0.03,0.70,0.76,0.83,0.03
July,19,695,788,858,42.9,0.21,0.27,0.32,0.03,0.73,0.80,0.88,0.03
July,20,710,793,848,34.7,0.24,0.29,0.35,0.03,0.77,0.83,0.93,0.04
July,21,688,794,850,37.5,0.25,0.30,0.37,0.03,0.78,0.85,0.95,0.04
July,22,747,799,850,27.0,0.27,0.34,0.40,0.03,0.85,0.90,0.99,0.04
July,23,762,814,860,21.8,0.33,0.40,0.49,0.03,0.93,0.99,1.10,0.04
July,24,791,828,870,19.9,0.34,0.44,0.55,0.05,0.93,1.04,1.18,0.06
August,Monthly Average,691,846,"1,035",77.2,0.15,0.35,0.67,0.11,0.65,0.95,1.37,0.18
August,1,858,914,970,29.6,0.33,0.43,0.51,0.05,1.01,1.10,1.20,0.05
August,2,884,955,"1,012",34.3,0.37,0.48,0.59,0.05,1.08,1.18,1.29,0.05
August,3,916,970,"1,023",28.1,0.41,0.52,0.64,0.05,1.09,1.23,1.34,0.05
August,4,935,978,"1,035",25.5,0.43,0.53,0.62,0.05,1.11,1.25,1.37,0.06
August,5,928,977,"1,027",24.1,0.44,0.53,0.64,0.05,1.12,1.25,1.37,0.06
August,6,855,924,989,30.1,0.42,0.49,0.63,0.06,1.04,1.17,1.34,0.07
August,7,843,895,960,30.5,0.37,0.46,0.67,0.07,0.99,1.11,1.36,0.09
August,8,766,834,897,29.7,0.33,0.40,0.56,0.06,0.87,1.01,1.21,0.08
August,9,753,809,852,23.4,0.28,0.36,0.45,0.04,0.84,0.95,1.05,0.05
August,10,740,803,859,30.8,0.26,0.34,0.41,0.03,0.82,0.91,0.97,0.04
August,11,712,799,856,38.5,0.23,0.32,0.39,0.04,0.80,0.87,0.95,0.04
August,12,717,803,873,41.3,0.22,0.29,0.38,0.04,0.76,0.83,0.95,0.05
August,13,725,803,881,44.8,0.19,0.27,0.36,0.04,0.71,0.80,0.92,0.05
August,14,708,783,848,40.1,0.17,0.25,0.36,0.05,0.67,0.76,0.92,0.05
August,15,694,766,819,38.0,0.15,0.23,0.32,0.04,0.65,0.73,0.85,0.05
