-,-,CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),CO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),SO2 (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh),NOx (lbs/MWh)
-,Hour,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation,Min,Average,Max,Standard Deviation
July,17,"1,187","1,236","1,277",25.3,1.92,2.25,2.81,0.20,0.65,0.80,0.93,0.06
July,18,"1,188","1,238","1,281",25.7,1.98,2.29,2.86,0.21,0.65,0.79,0.90,0.05
July,19,"1,189","1,237","1,281",21.8,1.97,2.36,2.94,0.21,0.65,0.78,0.88,0.05
July,20,"1,182","1,236","1,284",23.7,2.06,2.44,2.93,0.19,0.65,0.75,0.83,0.04
July,21,"1,156","1,233","1,283",27.4,2.10,2.47,2.78,0.17,0.65,0.75,0.81,0.04
July,22,"1,158","1,235","1,293",29.3,2.19,2.57,2.87,0.16,0.65,0.73,0.81,0.03
July,23,"1,169","1,253","1,306",30.6,2.38,2.80,3.08,0.16,0.65,0.74,0.79,0.03
July,24,"1,199","1,286","1,345",28.5,2.62,3.07,3.36,0.16,0.71,0.79,0.83,0.03
August,Monthly Average,"1,154","1,267","1,487",57.9,1.69,2.61,4.13,0.55,0.64,0.80,0.98,0.06
August,1,"1,179","1,290","1,409",46.0,2.64,3.03,3.64,0.24,0.68,0.79,0.89,0.04
August,2,"1,202","1,315","1,412",46.9,2.77,3.20,3.84,0.24,0.70,0.81,0.93,0.04
August,3,"1,242","1,336","1,438",45.3,2.92,3.32,3.99,0.23,0.74,0.84,0.95,0.04
August,4,"1,224","1,350","1,460",49.5,2.86,3.39,4.08,0.25,0.72,0.85,0.97,0.04
August,5,"1,235","1,350","1,482",48.1,2.86,3.38,4.13,0.26,0.74,0.85,0.98,0.04
August,6,"1,234","1,329","1,487",49.6,2.80,3.26,4.10,0.28,0.76,0.83,0.98,0.05
August,7,"1,215","1,307","1,480",60.6,2.68,3.12,4.04,0.34,0.72,0.80,0.97,0.06
August,8,"1,227","1,302","1,472",55.2,2.68,3.06,3.98,0.32,0.73,0.80,0.96,0.05
August,9,"1,226","1,278","1,421",40.4,2.54,2.84,3.68,0.26,0.72,0.76,0.91,0.04
August,10,"1,206","1,256","1,389",34.7,2.32,2.63,3.39,0.23,0.69,0.74,0.87,0.04
August,11,"1,190","1,235","1,347",30.9,2.09,2.41,3.14,0.22,0.67,0.74,0.84,0.04
August,12,"1,194","1,230","1,322",25.6,1.94,2.27,2.92,0.21,0.70,0.77,0.86,0.04
August,13,"1,188","1,226","1,308",24.8,1.83,2.16,2.79,0.20,0.71,0.79,0.89,0.04
August,14,"1,187","1,227","1,294",23.1,1.76,2.09,2.69,0.21,0.74,0.81,0.91,0.04
August,15,"1,190","1,230","1,289",21.5,1.71,2.04,2.63,0.21,0.76,0.83,0.93,0.04
August,16,"1,191","1,232","1,293",21.8,1.69,2.01,2.64,0.21,0.77,0.84,0.93,0.04
August,17,"1,183","1,232","1,297",22.8,1.70,2.02,2.65,0.22,0.76,0.84,0.92,0.04
August,18,"1,184","1,232","1,299",24.1,1.73,2.06,2.70,0.22,0.74,0.83,0.91,0.04
August,19,"1,184","1,231","1,297",25.1,1.80,2.14,2.78,0.23,0.72,0.80,0.87,0.04
August,20,"1,186","1,232","1,306",27.0,1.89,2.23,2.89,0.23,0.71,0.78,0.86,0.04
August,21,"1,176","1,231","1,302",28.7,1.93,2.25,2.89,0.24,0.69,0.77,0.85,0.04
August,22,"1,162","1,232","1,327",36.5,2.04,2.38,3.02,0.24,0.66,0.74,0.84,0.04
August,23,"1,154","1,247","1,363",44.1,2.25,2.59,3.24,0.25,0.64,0.74,0.84,0.05
August,24,"1,162","1,267","1,402",50.6,2.44,2.82,3.50,0.26,0.66,0.76,0.87,0.05
September,Monthly Average,"1,109","1,297","1,512",79.8,1.73,2.87,4.16,0.59,0.62,0.81,0.99,0.07
September,1,"1,254","1,353","1,459",55.2,2.95,3.41,3.91,0.24,0.76,0.85,0.95,0.05
September,2,"1,279","1,386","1,471",53.8,3.14,3.58,4.02,0.22,0.79,0.88,0.96,0.05
September,3,"1,290","1,412","1,498",53.0,3.24,3.71,4.12,0.22,0.81,0.91,0.98,0.05
September,4,"1,300","1,422","1,512",52.3,3.30,3.76,4.15,0.21,0.82,0.92,0.99,0.05
